nom_me,cartodb_id,data,id,d1_011,d1_010,d1_009,d1_008,d1_007,d1_006,d1_043,d1_035,d1_024,d1_023,d1_017,d1_016,d1_012,d1_005,d1_004,d1_003,ba_001,d1_002,d1_001,ba_002,ins020,ins015,p1_001,p3_006,p3_005,p3_004,p3_003,p3_002,p13_208,p13_207,p13_206,p13_205,p13_204,p13_203,p13_202,p13_201,p13_039,p13_038,p13_037,p13_036,p13_035,p13_022,p12_001,p11_001,p3_001,cod_mu,cod_rm,cod_mi,cod_me,cod_uf,cod_gr,nom_mu,nom_rm,nom_mi,codap,nom_uf,nom_gr,ba_003,mt008,mt007,mt006,ren105,ren104,ren103,ren102,ren101,ren016,ren004,ren003,ren002,ins037,ins032,ins002,ins001,re050,re047,re046,re104,re103,re102,re038,re101,re036,re032,re031,re030,re029,re028,re027,de024,de023,de020,p3_205,p3_204,p3_203,p3_202,p3_201,t_env,p13_222,p13_221,p13_220,p13_219,p13_218,p13_217,p13_216,p13_215,p13_214,p13_213,p13_212,p13_211,p13_210,p13_209,area
METROPOLITANA DE SAO PAULO,17,200,578850,21,259,385,503,1288,2443,4890,4710,4866,1,2289,4898,3375,1285,65,3544,4899,4899,4904,17182,-999999,-999999,14945,12,5260,519,1324,9730,176,772,2006,5111,3546,1050,1354,1565,323,274,237,258,254,270,8780,8416,17196,3530607,20,35062,3515,35,3,MOGI DAS CRUZES,RM SAO PAULO,MOGI DAS CRUZES,3530607005010,SAO PAULO,REGIAO SUDESTE,3.51,90.39,59.12,9.61,-999.99,-999.99,3.19,32.23,29.68,32.54,4.14,1.18,2110.3,-999.99,-999.99,7.15,7.4,5.4,-999.99,-999.99,19.27,-999.99,7.5,28.25,-999.99,-999.99,-999.99,29.25,51.03,-999.99,-999.99,13.2,-999.99,12.07,8.34,0.07,30.59,3.02,7.7,56.58,5.51,1.02,4.49,11.67,29.72,20.62,6.11,7.87,9.1,1.88,1.59,1.38,1.5,1.48,1.57,55.862419
METROPOLITANA DE SAO PAULO,34,246,361245,183,252,52,1016,152,2869,4521,4524,4454,0,3711,4524,4402,79,59,4318,4524,4524,4554,14732,-999999,-999999,13443,1,3751,239,694,10097,291,1072,2382,4516,3122,636,841,922,172,164,157,168,177,162,7657,7125,14782,3543303,20,35061,3515,35,3,RIBEIRAO PIRES,RM SAO PAULO,SAO PAULO,3543303003000,SAO PAULO,REGIAO SUDESTE,3.26,91.81,59.8,8.19,-999.99,5.99,9.84,49.38,18.1,15.68,6.28,1.94,3204.1,-999.99,-999.99,7.57,8.48,5.08,-999.99,4.1,10.75,-999.99,4.01,15.44,-999.99,-999.99,-999.99,17.27,64.28,-999.99,-999.99,8.9,-999.99,20.45,9.38,0.01,25.38,1.62,4.69,68.31,9.22,1.97,7.25,16.11,30.55,21.12,4.3,5.69,6.24,1.16,1.11,1.06,1.14,1.2,1.1,18.012547
METROPOLITANA DE SAO PAULO,125,30,161311,784,1399,130,3178,1126,14452,21055,20805,20865,13,12539,21056,20011,532,1045,19316,21069,21069,21146,74916,1275,561,64354,88,27450,576,5329,36849,442,2217,8328,23239,16849,4219,5801,6608,1213,1286,1266,1175,1182,1174,38024,36975,74999,3510609,20,35057,3515,35,3,CARAPICUIBA,RM SAO PAULO,OSASCO,3510609005010,SAO PAULO,REGIAO SUDESTE,3.56,89.5,56.81,10.5,1.84,3.61,3.79,27.58,30.83,32.25,5.44,1.54,2773.88,23.66,5.07,6.57,7.01,3.02,-999.99,1.23,14.57,2.49,11.35,28.42,0.62,1.34,1.96,30.37,52.56,1.78,-999.99,10.41,4.83,27.45,11.02,0.12,36.6,0.77,7.11,49.13,3.55,0.59,2.96,11.1,30.99,22.47,5.63,7.73,8.81,1.62,1.71,1.69,1.57,1.58,1.57,14.826849
METROPOLITANA DE SAO PAULO,246,571,485633,35,192,9,974,1768,5365,8340,8340,8334,0,8251,8343,8332,7081,7,1247,8345,8345,8420,25751,-999999,-999999,23498,15,8032,162,2624,14914,236,1544,4605,7939,5351,1017,1441,1747,326,304,319,310,317,291,14046,11782,25828,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005260,SAO PAULO,REGIAO SUDESTE,3.09,89.44,63.73,10.56,-999.99,1.81,10.28,50.5,25.88,10.64,5.16,1.69,2631.55,-999.99,-999.99,8.09,8.47,5.03,-999.99,4.74,14.62,-999.99,7.14,22.46,-999.99,-999.99,2.09,24.56,55.52,-999.99,-999.99,8.77,-999.99,20.62,5.77,0.06,31.1,0.63,10.16,57.74,6.89,0.91,5.98,17.83,30.74,20.72,3.94,5.58,6.76,1.26,1.18,1.24,1.2,1.23,1.13,1.104388
METROPOLITANA DE SAO PAULO,302,499,449550,56,481,96,3485,496,9606,14205,14079,14049,1,10124,14219,13394,51,48,13961,14234,14234,14430,50805,800,-999999,44092,39,20477,539,3231,26702,321,1530,5498,16142,11365,2799,4024,4483,855,794,839,818,769,759,26145,24896,51041,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005190,SAO PAULO,REGIAO SUDESTE,3.57,92.79,61.43,7.21,-999.99,1.65,2.64,33.26,33.75,28.28,3.8,1.08,1939.92,24.02,-999.99,6.64,6.57,4.27,-999.99,2.56,16.14,1.34,3.89,21.37,-999.99,-999.99,1.49,22.86,59.58,0.93,-999.99,9.42,7.08,30.94,9.07,0.08,40.12,1.06,6.33,52.31,3.63,0.63,3,10.77,31.63,22.27,5.48,7.88,8.78,1.68,1.56,1.64,1.6,1.51,1.49,45.67477
METROPOLITANA DE SAO PAULO,319,23,181430,137,675,292,929,250,4050,6298,6213,6076,17,3390,6316,4916,229,108,5883,6415,6415,6423,21603,-999999,-999999,18235,8,8988,127,1249,10966,166,957,2422,6314,4735,1215,1632,1819,375,347,335,329,359,333,10750,10876,21626,3509205,20,35057,3515,35,3,CAJAMAR,RM SAO PAULO,OSASCO,3509205003000,SAO PAULO,REGIAO SUDESTE,3.37,90.4,55.03,9.6,-999.99,-999.99,3.71,32.04,29.27,33.79,3.53,1.05,1802.04,-999.99,-999.99,6.15,6.04,3.5,-999.99,-999.99,19.98,-999.99,12.48,34.01,-999.99,-999.99,2.34,36.35,49.43,-999.99,-999.99,7.79,5.74,24.45,10.7,0.04,41.56,0.59,5.78,50.71,5.19,0.77,4.43,11.2,29.2,21.89,5.62,7.55,8.41,1.73,1.6,1.55,1.52,1.66,1.54,115.149277
METROPOLITANA DE SAO PAULO,323,97,251537,45,507,42,1359,166,7121,9225,9220,9126,4,7887,9236,9180,9,27,9100,9240,9240,14154,31318,-999999,-999999,31596,24,13096,165,2510,20196,386,1627,4787,10931,9541,1692,2179,2447,441,440,439,431,447,445,17293,18940,36233,3516408,20,35058,3515,35,3,FRANCO DA ROCHA,RM SAO PAULO,FRANCO DA ROCHA,3516408003010,SAO PAULO,REGIAO SUDESTE,3.39,90.04,50.83,9.96,-999.99,1.6,5.11,34.75,24.81,19.99,2.95,1.34,1506.31,-999.99,-999.99,6.64,6.75,4.47,-999.99,1.83,12.96,-999.99,6.76,20.71,-999.99,-999.99,-999.99,21.91,52.63,-999.99,-999.99,12.49,1.72,17.93,8.79,0.07,36.14,0.46,6.93,55.74,5.56,1.07,4.49,13.21,30.17,26.33,4.67,6.01,6.75,1.22,1.21,1.21,1.19,1.23,1.23,32.556625
METROPOLITANA DE SAO PAULO,334,219,200689,215,816,31,2284,325,7446,11109,10418,10533,4,5033,11113,10069,258,4,10284,11550,11550,11559,39948,630,-999999,34059,25,17308,230,2729,17029,219,1232,4152,11622,8905,2089,3032,3382,628,679,620,566,623,654,20196,19804,40000,3534401,20,35057,3515,35,3,OSASCO,RM SAO PAULO,OSASCO,3534401005000,SAO PAULO,REGIAO SUDESTE,3.46,87.62,58.11,12.38,-999.99,-999.99,1.56,31.24,32.17,34.31,3.29,0.95,1679.56,25.17,-999.99,5.7,6.2,1.82,-999.99,2.44,12.98,2.24,13.05,28.27,-999.99,-999.99,1.15,29.42,52.98,-999.99,-999.99,11.67,5.24,28.74,9.69,0.06,43.27,0.57,6.82,42.57,3.63,0.55,3.08,10.38,29.05,22.26,5.22,7.58,8.46,1.57,1.7,1.55,1.42,1.56,1.64,11.123736
METROPOLITANA DE SAO PAULO,375,412,126316,79,304,240,2067,1505,11238,15432,15417,15021,6,14665,15427,15313,8310,412,6312,15448,15448,15677,46706,-999999,-999999,42910,403,7284,1173,1884,36162,1115,3886,7811,15120,8716,1753,2491,2880,552,524,533,465,553,507,25178,21779,46957,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005100,SAO PAULO,REGIAO SUDESTE,3.02,95.49,62.99,4.51,32.51,19.11,7.09,14.53,9.38,16.89,35.03,12.44,17864.7,-999.99,-999.99,11.22,12.14,5.84,-999.99,5.69,3.98,1.5,1.75,7.22,-999.99,-999.99,1,8.22,69.09,-999.99,-999.99,9.53,4.75,24.35,9,0.86,15.51,2.5,4.01,77.01,10.65,2.37,8.28,16.63,32.2,18.56,3.73,5.3,6.13,1.18,1.12,1.14,0.99,1.18,1.08,11.48246
METROPOLITANA DE SAO PAULO,6,201,592432,114,505,615,587,344,3888,6030,5697,6011,10,251,6043,2591,45,869,5133,6058,6058,6598,21369,-999999,-999999,18427,10,7798,415,1431,12133,158,837,2629,6484,4403,1302,1892,2085,399,364,359,342,321,320,10542,11370,21912,3530607,20,35062,3515,35,3,MOGI DAS CRUZES,RM SAO PAULO,MOGI DAS CRUZES,3530607005010,SAO PAULO,REGIAO SUDESTE,3.53,90.71,56.56,9.29,3.03,6.68,7.58,20.62,28.43,31.23,7.39,2.28,3771.29,-999.99,-999.99,7,7.23,2.77,-999.99,3.24,15.94,-999.99,14.23,31.22,-999.99,-999.99,-999.99,33.02,49.02,-999.99,-999.99,10.77,-999.99,25.27,18.81,0.05,35.59,1.89,6.53,55.37,4.54,0.72,3.82,12,29.59,20.09,5.94,8.63,9.52,1.82,1.66,1.64,1.56,1.46,1.46,152.092819
METROPOLITANA DE SAO PAULO,234,406,130672,34,255,217,3435,518,8040,12498,12497,12495,0,12467,12499,12494,12008,26,462,12499,12499,12509,28699,-999999,-999999,27181,15,1253,1105,242,26094,1091,2500,5767,9959,5227,641,878,1104,248,236,258,248,253,299,15756,12953,28709,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005100,SAO PAULO,REGIAO SUDESTE,2.3,95.71,62.11,4.29,39.39,30.47,10.78,9.86,1.84,7.66,28.38,12.48,14471.7,-999.99,-999.99,13.78,14.33,6.12,-999.99,9.27,4.34,-999.99,-999.99,5.5,1.64,-999.99,2.05,7.54,66.37,1.66,-999.99,8.29,-999.99,19.89,9.36,0.05,4.36,3.85,0.84,90.89,12.51,3.8,8.71,20.09,34.69,18.21,2.23,3.06,3.85,0.86,0.82,0.9,0.86,0.88,1.04,1.005118
METROPOLITANA DE SAO PAULO,26,212,388803,13,245,1028,418,41,2642,4370,3859,4345,15,788,4372,1654,0,5,4370,4387,4387,4490,15567,-999999,-999999,13134,4,3836,848,467,10410,226,1047,2163,4358,3062,920,1243,1388,238,213,228,193,186,212,7553,8124,15677,3530607,20,35062,3515,35,3,MOGI DAS CRUZES,RM SAO PAULO,MOGI DAS CRUZES,3530607005020,SAO PAULO,REGIAO SUDESTE,3.55,92.49,57.1,7.51,-999.99,-999.99,-999.99,26.96,35.73,33.26,3.55,1.02,1811.29,-999.99,-999.99,4.62,5.45,3.66,-999.99,-999.99,10.4,-999.99,9.57,21.93,-999.99,-999.99,-999.99,22.17,67.38,-999.99,-999.99,5.37,2.97,16.37,7.26,0.03,24.47,5.41,2.98,66.4,8.12,1.44,6.68,13.8,27.8,19.53,5.87,7.93,8.85,1.52,1.36,1.45,1.23,1.19,1.35,273.221375
METROPOLITANA DE SAO PAULO,74,606,33229,14,228,294,138,59,1594,2316,2138,2315,3,77,2324,387,42,2,2280,2349,2349,2422,8185,-999999,-999999,6794,42,3533,92,463,4045,77,423,1151,2221,1609,489,715,756,136,139,127,115,109,108,4041,4217,8258,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005300,SAO PAULO,REGIAO SUDESTE,3.48,89.81,57.56,-999.99,-999.99,-999.99,-999.99,23.72,32.2,41.66,2.63,0.78,1342.01,-999.99,-999.99,5.41,5.39,-999.99,-999.99,-999.99,10.05,-999.99,11.16,23.29,-999.99,-999.99,-999.99,27.12,60.2,-999.99,-999.99,8.2,-999.99,26.43,12.6,0.51,42.78,1.11,5.61,48.98,6.05,0.93,5.12,13.94,26.9,19.48,5.92,8.66,9.15,1.65,1.68,1.54,1.39,1.32,1.31,208.901993
METROPOLITANA DE SAO PAULO,109,284,265109,125,1218,105,1579,47,5193,8264,8246,8079,8,3902,8259,7992,34,54,8027,8267,8267,8303,28686,-999999,-999999,24697,33,11374,202,1614,15503,141,848,3161,8955,6435,1720,2241,2516,467,441,462,418,454,467,14401,14325,28726,3548708,20,35061,3515,35,3,SAO BERNARDO DO CAMPO,RM SAO PAULO,SAO PAULO,3548708005000,SAO PAULO,REGIAO SUDESTE,3.47,91.86,58.68,8.14,-999.99,-999.99,3.35,34.92,33.76,26.74,3.92,1.13,1999.65,-999.99,-999.99,6.82,6.98,3.9,-999.99,1.75,14.28,2.54,9.79,26.61,-999.99,2.06,3.15,29.76,56.16,-999.99,-999.99,7.6,5.78,35.26,9.65,0.11,39.59,0.7,5.62,53.97,3.44,0.49,2.95,11,31.17,22.4,5.99,7.8,8.76,1.63,1.54,1.61,1.46,1.58,1.63,21.127653
METROPOLITANA DE SAO PAULO,148,73,55184,102,489,72,1277,80,3002,5021,5017,4972,1,4056,5021,4926,21,31,4930,5204,5204,5225,17409,-999999,-999999,15313,13,5895,243,984,9675,181,812,2321,5025,3761,832,1127,1324,238,250,247,237,214,241,9122,8313,17435,3515004,20,35060,3515,35,3,EMBU,RM SAO PAULO,ITAPECERICA DA SERRA,3515004005010,SAO PAULO,REGIAO SUDESTE,3.35,88.93,62.09,11.07,-999.99,-999.99,4.17,41.5,30.85,20.14,5.66,1.7,2884.99,-999.99,-999.99,7.47,7.66,2.62,-999.99,2.64,11.78,3.19,8.38,23.35,-999.99,-999.99,3.34,26.68,56.7,-999.99,-999.99,10.57,3.67,25.35,10.17,0.07,33.81,1.39,5.64,55.49,5.7,1.04,4.66,13.31,28.82,21.57,4.77,6.46,7.59,1.37,1.43,1.42,1.36,1.23,1.38,6.824389
METROPOLITANA DE SAO PAULO,232,472,274110,258,961,42,3979,368,8757,14352,14135,14096,15,12575,14350,14227,1046,97,12997,14365,14365,14366,47564,616,-999999,41250,43,19253,631,4179,23468,500,2344,6155,14922,10499,2253,3120,3750,705,669,704,639,648,666,25065,22509,47574,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005160,SAO PAULO,REGIAO SUDESTE,3.31,91.87,57.36,8.13,-999.99,1.91,6.48,37.04,28.12,25.66,4.54,1.37,2315.63,22.11,-999.99,6.11,6.57,2.17,-999.99,4.16,10,3.07,7.55,20.62,-999.99,0.96,1.69,22.31,61.71,-999.99,-999.99,8.25,3.81,21.95,7.2,0.09,40.47,1.33,8.78,49.33,5.98,1.05,4.93,12.94,31.37,22.07,4.74,6.56,7.88,1.48,1.41,1.48,1.34,1.36,1.4,2.172813
METROPOLITANA DE SAO PAULO,335,257,181498,46,578,75,2130,736,9670,13224,13217,13220,2,6704,13233,13019,1729,2413,9089,13235,13235,13239,45010,-999999,-999999,40256,25,9904,618,1477,31970,476,1819,7244,14132,8952,2258,3100,3401,634,641,592,630,535,603,23073,21944,45017,3547304,20,35057,3515,35,3,SANTANA DE PARNAIBA,RM SAO PAULO,OSASCO,3547304003000,SAO PAULO,REGIAO SUDESTE,3.4,93.29,62.67,6.71,18.23,18.72,8.85,20.86,20.19,13.15,19.88,5.9,10139,-999.99,-999.99,10.44,10.67,4.8,-999.99,4.98,11.14,-999.99,6.71,18.74,1.81,-999.99,2.41,21.16,58.06,-999.99,-999.99,9.73,3.67,24.06,20.95,0.06,22,1.37,3.28,71.02,5.1,1.06,4.04,16.09,31.39,19.89,5.02,6.89,7.55,1.41,1.42,1.32,1.4,1.19,1.34,49.714146
METROPOLITANA DE SAO PAULO,370,626,107756,126,364,12,1536,338,3046,5355,5419,5305,2,5026,5420,5409,564,55,4774,5422,5422,5424,18148,-999999,-999999,16002,23,7358,189,1567,9011,106,627,2625,5511,4472,771,1132,1382,251,236,263,249,239,287,9385,8766,18151,3552809,20,35060,3515,35,3,TABOAO DA SERRA,RM SAO PAULO,ITAPECERICA DA SERRA,3552809005010,SAO PAULO,REGIAO SUDESTE,3.35,91.84,68.88,8.16,-999.99,-999.99,6.96,47.65,28.56,14.41,5.18,1.55,2642.3,-999.99,-999.99,7.17,7.72,3.76,-999.99,-999.99,8.9,-999.99,7.06,18.26,-999.99,-999.99,3.07,21.33,63.46,-999.99,-999.99,7.75,7.94,36.95,13.1,0.13,40.54,1.04,8.63,49.64,4.04,0.58,3.45,14.46,30.36,24.64,4.25,6.24,7.61,1.38,1.3,1.45,1.37,1.32,1.58,1.129132
METROPOLITANA DE SAO PAULO,436,167,149826,20,290,10,978,103,3161,4558,4561,4560,1,4180,4561,4553,8,6,4548,4562,4562,4566,15435,-999999,-999999,13214,7,7106,55,1161,7114,80,471,1657,4583,3729,938,1168,1365,254,224,228,238,253,255,7895,7548,15443,3525003,20,35057,3515,35,3,JANDIRA,RM SAO PAULO,OSASCO,3525003003000,SAO PAULO,REGIAO SUDESTE,3.38,91.3,63.15,8.7,-999.99,-999.99,-999.99,39.66,31.82,25.33,3.59,1.06,1831.07,-999.99,-999.99,6.33,6.98,3.09,-999.99,-999.99,14.34,3.06,14.25,31.64,-999.99,-999.99,-999.99,33.64,48.78,-999.99,-999.99,14.1,3.77,28.71,19.74,0.05,46.01,0.36,7.52,46.07,3.57,0.52,3.05,10.73,29.68,24.15,6.07,7.56,8.84,1.64,1.45,1.48,1.54,1.64,1.65,0.888899
METROPOLITANA DE SAO PAULO,524,552,504526,421,464,21,1791,166,7399,10257,10203,10110,3,6596,10259,9470,18,37,10068,10271,10271,10301,36480,-999999,-999999,31553,19,16702,185,2282,17294,316,1698,4350,11086,7689,2078,2820,3124,567,606,558,562,525,503,18795,17725,36520,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005240,SAO PAULO,REGIAO SUDESTE,3.55,89.19,53.16,10.81,-999.99,-999.99,3.64,26.81,30.43,38.2,3.35,0.94,1706.49,-999.99,-999.99,6.4,6.5,5.79,-999.99,3.89,13.51,2.55,11.8,27.86,-999.99,-999.99,1.73,29.59,50.83,-999.99,-999.99,8.09,2.09,21.67,6.43,0.05,45.73,0.51,6.25,47.35,5.51,0.87,4.65,11.91,30.36,21.05,5.69,7.72,8.55,1.55,1.66,1.53,1.54,1.44,1.38,3.50861
METROPOLITANA DE SAO PAULO,576,52,278969,25,134,1,501,2122,1945,4728,4710,4722,3,4543,4725,4723,2248,0,2478,4728,4728,4728,16165,-999999,-999999,14039,16,7571,113,1286,7179,48,307,1650,5585,3453,939,1282,1425,267,237,237,227,258,250,8429,7736,16165,3513801,20,35061,3515,35,3,DIADEMA,RM SAO PAULO,SAO PAULO,3513801005010,SAO PAULO,REGIAO SUDESTE,3.42,89.67,66.54,10.33,-999.99,-999.99,3.02,37.6,34.48,23.68,3.84,1.13,1959.81,-999.99,-999.99,7.36,7.59,3.23,-999.99,-999.99,17.4,-999.99,7.49,27.59,-999.99,-999.99,-999.99,30.12,57.04,-999.99,-999.99,7.83,4.67,40.46,8.91,0.1,46.84,0.7,7.96,44.41,2.2,0.3,1.9,10.21,34.55,21.36,5.81,7.93,8.82,1.65,1.47,1.47,1.4,1.6,1.55,0.477332
METROPOLITANA DE SAO PAULO,583,294,331119,45,960,36,2463,74,8913,12490,12455,12373,11,11778,12480,12442,11,3,12388,12491,12491,12499,43850,499,-999999,36985,76,20820,393,3935,17665,168,852,4267,13511,10589,2803,3616,3812,698,713,746,690,677,722,22179,21685,43864,3548708,20,35061,3515,35,3,SAO BERNARDO DO CAMPO,RM SAO PAULO,SAO PAULO,3548708005010,SAO PAULO,REGIAO SUDESTE,3.51,87.5,64.43,12.5,-999.99,-999.99,-999.99,31.02,33.65,33.76,3.16,0.9,1613.76,17.5,-999.99,5.9,6.17,3.49,-999.99,-999.99,14.79,4.35,10.12,29.26,1.06,-999.99,1.7,30.96,49.89,-999.99,-999.99,14.61,9.49,44.65,12.87,0.17,47.46,0.9,8.97,40.27,2.33,0.38,1.94,9.73,30.8,24.14,6.39,8.24,8.69,1.59,1.63,1.7,1.57,1.54,1.65,1.652833
METROPOLITANA DE SAO PAULO,4,203,573027,96,310,13,914,493,3486,5307,5295,5301,5,4661,5307,5113,181,112,5019,5312,5312,5327,18319,-999999,-999999,15873,13,6933,187,1471,9730,110,650,2218,5462,4148,984,1365,1608,323,310,261,293,297,305,9361,8973,18334,3530607,20,35062,3515,35,3,MOGI DAS CRUZES,RM SAO PAULO,MOGI DAS CRUZES,3530607005010,SAO PAULO,REGIAO SUDESTE,3.45,88.17,60.75,11.83,-999.99,-999.99,4.52,39.62,33.14,22.36,3.94,1.15,2010.72,-999.99,-999.99,7.47,7.63,6.11,-999.99,2.79,19.78,-999.99,9.53,30.64,-999.99,-999.99,2.65,33.29,49.08,-999.99,-999.99,8.02,-999.99,20.77,8.49,0.07,37.81,1.02,8.02,53.07,4.15,0.6,3.55,12.1,29.79,22.62,5.37,7.45,8.77,1.76,1.69,1.42,1.6,1.62,1.66,1.752401
METROPOLITANA DE SAO PAULO,23,252,592587,79,619,900,1126,129,4701,7531,7069,7511,11,2450,7543,4577,8,72,7465,7554,7554,7658,25132,-999999,-999999,21312,33,7166,186,1150,16732,290,1329,3464,7363,5149,1446,1888,2151,401,351,387,353,351,344,12474,12793,25267,3546801,20,35059,3515,35,3,SANTA ISABEL,RM SAO PAULO,GUARULHOS,3546801003000,SAO PAULO,REGIAO SUDESTE,3.33,90.21,58.98,9.79,-999.99,-999.99,2.37,29.61,37.68,29.03,3.32,1.01,1695.46,-999.99,-999.99,6.22,5.9,2.3,-999.99,-999.99,13.57,2.25,10.79,26.62,-999.99,-999.99,2.53,29.15,56.9,-999.99,-999.99,9.11,2.86,23.19,11.02,0.13,28.36,0.74,4.55,66.22,6.41,1.15,5.26,13.71,29.14,20.38,5.72,7.47,8.51,1.59,1.39,1.53,1.4,1.39,1.36,231.828064
METROPOLITANA DE SAO PAULO,24,98,592801,53,563,818,1703,409,4213,7739,7583,7733,12,3422,7747,5326,147,100,7510,7759,7759,7882,25714,-999999,-999999,22272,14,6473,294,1214,17849,413,1558,3667,7500,5373,1330,1878,2096,374,360,329,327,350,289,12846,12998,25844,3518305,20,35062,3515,35,3,GUARAREMA,RM SAO PAULO,MOGI DAS CRUZES,3518305001000,SAO PAULO,REGIAO SUDESTE,3.31,93.77,56.05,6.23,-999.99,2.57,4.07,36.62,31.58,24.1,4.52,1.39,2305.19,-999.99,-999.99,6.45,6.86,3.1,-999.99,2.12,13.29,-999.99,9.45,23.95,1.85,-999.99,2,25.95,60.87,-999.99,-999.99,7.19,2.72,19.58,11.69,0.05,25.05,1.14,4.7,69.06,7.63,1.6,6.03,14.19,29.02,20.79,5.15,7.27,8.11,1.45,1.39,1.27,1.27,1.35,1.12,271.775085
METROPOLITANA DE SAO PAULO,25,17,592671,102,852,978,1280,233,4955,8350,7937,8297,39,5070,8361,5508,1,9,8378,8400,8400,8407,28541,-999999,-999999,23967,33,7973,1163,1248,17895,339,1817,3753,7974,5852,1597,2170,2461,470,470,433,444,375,420,14162,14413,28575,3506607,20,35062,3515,35,3,BIRITIBA-MIRIM,RM SAO PAULO,MOGI DAS CRUZES,3506607003000,SAO PAULO,REGIAO SUDESTE,3.4,92.31,59.27,7.69,-999.99,-999.99,2.46,30.89,34.31,30.72,4.35,1.28,2220.92,-999.99,-999.99,5.17,5.78,5.21,-999.99,-999.99,15.14,1.62,8.42,25.18,-999.99,-999.99,2.46,27.64,57.18,-999.99,-999.99,8.02,-999.99,13.78,10.84,0.12,27.9,4.07,4.37,62.62,7.55,1.19,6.36,13.13,27.91,20.48,5.59,7.59,8.61,1.64,1.64,1.52,1.55,1.31,1.47,318.493927
METROPOLITANA DE SAO PAULO,28,202,572948,216,231,16,653,666,2697,4475,4469,4448,4,3560,4475,4358,504,28,3931,4479,4479,4482,15724,-999999,-999999,13279,3,6674,89,1360,7604,68,461,1477,4712,3332,912,1403,1616,301,288,289,310,269,292,7943,7787,15730,3530607,20,35062,3515,35,3,MOGI DAS CRUZES,RM SAO PAULO,MOGI DAS CRUZES,3530607005010,SAO PAULO,REGIAO SUDESTE,3.51,88.25,59.17,11.75,-999.99,-999.99,-999.99,25.89,40.19,31.9,3.07,0.88,1566.73,-999.99,-999.99,6.42,7.24,4.76,-999.99,-999.99,23.07,-999.99,13.04,36.63,-999.99,-999.99,-999.99,38.17,44.89,-999.99,-999.99,10.66,-999.99,19.01,10.53,0.02,42.43,0.57,8.65,48.34,3.36,0.43,2.93,9.39,29.96,21.18,5.8,8.92,10.27,1.91,1.83,1.84,1.97,1.71,1.86,3.053145
METROPOLITANA DE SAO PAULO,35,245,331030,26,458,106,944,150,3824,5505,5502,5358,3,4157,5505,5149,42,41,5281,5508,5508,5520,18105,-999999,-999999,16195,28,5992,185,884,11047,213,937,2846,5735,3776,871,1123,1245,242,225,240,233,212,238,9239,8897,18136,3543303,20,35061,3515,35,3,RIBEIRAO PIRES,RM SAO PAULO,SAO PAULO,3543303003000,SAO PAULO,REGIAO SUDESTE,3.29,90.64,60.87,9.36,-999.99,-999.99,8.21,47.51,26.06,15.29,5.18,1.58,2642.56,-999.99,-999.99,7.41,7.71,4.63,-999.99,2.7,12.28,-999.99,9.91,23.99,-999.99,3.56,4.77,28.76,54.02,-999.99,-999.99,9.06,3,24.69,11,0.15,33.04,1.02,4.87,60.91,6.34,1.17,5.17,15.69,31.62,20.82,4.8,6.19,6.86,1.33,1.24,1.32,1.28,1.17,1.31,18.264753
METROPOLITANA DE SAO PAULO,42,619,558722,413,2873,703,7853,3092,30297,45150,44871,45040,23,40375,45208,43179,3329,543,41254,45244,45244,46005,155001,1623,-999999,137423,162,49037,5396,9838,88773,1792,7991,21907,47349,32591,7899,11350,12301,2231,2202,2138,2064,1958,1984,79773,76031,155804,3552502,20,35062,3515,35,3,SUZANO,RM SAO PAULO,MOGI DAS CRUZES,3552502005000,SAO PAULO,REGIAO SUDESTE,3.43,88.87,58.96,11.13,0.71,2.26,6.43,38.6,30.76,20.76,5,1.48,2550.7,18,-999.99,7.63,8.14,4.78,0.63,2.63,15.46,1.54,11.55,28.56,1.39,1.79,3.18,31.73,47.95,-999.99,-999.99,12.01,2.2,22.95,9.11,0.1,31.47,3.46,6.31,56.98,6.28,1.15,5.13,14.06,30.39,20.92,5.07,7.28,7.9,1.43,1.41,1.37,1.32,1.26,1.27,98.087715
