nom_me,cartodb_id,data,id,d1_011,d1_010,d1_009,d1_008,d1_007,d1_006,d1_043,d1_035,d1_024,d1_023,d1_017,d1_016,d1_012,d1_005,d1_004,d1_003,ba_001,d1_002,d1_001,ba_002,ins020,ins015,p1_001,p3_006,p3_005,p3_004,p3_003,p3_002,p13_208,p13_207,p13_206,p13_205,p13_204,p13_203,p13_202,p13_201,p13_039,p13_038,p13_037,p13_036,p13_035,p13_022,p12_001,p11_001,p3_001,cod_mu,cod_rm,cod_mi,cod_me,cod_uf,cod_gr,nom_mu,nom_rm,nom_mi,codap,nom_uf,nom_gr,ba_003,mt008,mt007,mt006,ren105,ren104,ren103,ren102,ren101,ren016,ren004,ren003,ren002,ins037,ins032,ins002,ins001,re050,re047,re046,re104,re103,re102,re038,re101,re036,re032,re031,re030,re029,re028,re027,de024,de023,de020,p3_205,p3_204,p3_203,p3_202,p3_201,t_env,p13_222,p13_221,p13_220,p13_219,p13_218,p13_217,p13_216,p13_215,p13_214,p13_213,p13_212,p13_211,p13_210,p13_209,area
METROPOLITANA DE SAO PAULO,291,437,413908,37,368,55,2467,766,7729,11419,11420,11321,1,11109,11421,11415,3557,228,7541,11422,11422,11483,34949,-999999,-999999,32421,19,5406,739,1566,27312,825,3053,5987,11262,6352,1450,1937,1999,403,349,386,339,353,347,18794,16248,35042,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005130,SAO PAULO,REGIAO SUDESTE,3.06,93.44,60.37,6.56,7.02,14.13,18.62,32.5,15.16,12.33,11.16,3.67,5691.73,-999.99,-999.99,9.49,10.44,3,-999.99,9.88,11.65,-999.99,2.88,14.96,1.29,-999.99,2.54,17.49,63.09,-999.99,-999.99,5.14,-999.99,11.62,3.39,0.05,15.43,2.11,4.47,77.94,11.07,2.35,8.71,17.09,32.14,18.13,4.14,5.53,5.7,1.15,1,1.1,0.97,1.01,0.99,2.248136
METROPOLITANA DE SAO PAULO,295,340,414210,38,259,52,3065,418,5083,8912,8915,8864,2,8871,8913,8911,1514,297,7059,8915,8915,8917,27599,-999999,-999999,25459,42,4693,499,1074,21293,900,2601,4821,8135,5516,1059,1350,1562,279,286,281,291,247,273,14832,12769,27601,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005030,SAO PAULO,REGIAO SUDESTE,3.1,94.06,62.11,5.94,4.42,10.3,12.52,46.49,14.79,11.49,8.78,2.84,4476.96,-999.99,-999.99,9.51,10.08,4.14,-999.99,6.69,8.22,-999.99,1.88,10.37,-999.99,1.83,2.75,13.12,69.77,-999.99,-999.99,4.91,1.75,15.75,5.66,0.15,17,1.81,3.89,77.15,12.68,3.26,9.42,17.47,29.47,19.98,3.84,4.89,5.66,1.01,1.04,1.02,1.05,0.89,0.99,1.95752
METROPOLITANA DE SAO PAULO,292,439,418723,66,345,56,2685,720,7927,11797,11795,11774,1,11158,11798,11785,4256,463,7060,11799,11799,12116,34944,-999999,-999999,33083,29,4732,950,1700,27648,1217,3745,6835,10212,6902,1187,1504,1628,323,322,282,303,298,301,19245,16027,35272,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005130,SAO PAULO,REGIAO SUDESTE,2.96,93.37,63.15,6.63,5.43,14.52,23.88,38.88,9.82,6.59,10.2,3.56,5202.04,-999.99,-999.99,10.41,10.81,5.9,1.6,8.75,10.89,-999.99,1.85,13.08,1.84,-999.99,3.1,16.18,60.81,-999.99,-999.99,5.03,-999.99,14.83,3.87,0.08,13.42,2.69,4.82,78.39,14.07,3.45,10.62,19.38,28.95,19.57,3.37,4.26,4.62,0.92,0.91,0.8,0.86,0.84,0.85,5.048385
METROPOLITANA DE SAO PAULO,294,372,414041,286,219,217,3176,1026,6627,11549,11547,11485,9,11490,11542,11544,6381,294,4830,11552,11552,14652,32907,-999999,-999999,33914,43,4758,1068,1372,26868,1394,3470,6325,10224,6902,1106,1443,1513,274,308,285,246,286,335,20881,15180,36061,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005060,SAO PAULO,REGIAO SUDESTE,2.85,96.18,62.93,3.82,8.38,15.52,19.19,32.36,10.16,5.82,12.94,5.8,6601.2,-999.99,-999.99,10.98,11.27,5.99,-999.99,10.62,9.79,-999.99,-999.99,11.03,1.78,-999.99,2.87,13.91,56.06,1.89,-999.99,10.2,1.98,16.48,7.06,0.12,13.19,2.96,3.8,74.51,13.49,3.87,9.62,17.54,28.35,19.14,3.07,4,4.2,0.76,0.85,0.79,0.68,0.79,0.93,7.38895
METROPOLITANA DE SAO PAULO,588,61,288152,7,448,4,1373,64,2836,4731,4731,4725,4,4649,4728,4730,68,4,4659,4732,4732,4734,15634,-999999,-999999,13819,10,5237,191,1370,7864,159,731,2132,4726,3616,785,1006,1187,231,211,240,195,215,205,8110,7529,15639,3513801,20,35061,3515,35,3,DIADEMA,RM SAO PAULO,SAO PAULO,3513801005020,SAO PAULO,REGIAO SUDESTE,3.3,91.36,60.59,8.64,-999.99,-999.99,5.11,37.64,31.6,23.72,4.1,1.24,2088.72,-999.99,-999.99,6.84,7.04,4.4,-999.99,-999.99,15.45,-999.99,5.59,21.8,-999.99,-999.99,-999.99,23.03,63.1,-999.99,-999.99,8.26,6.85,35.03,9.55,0.06,33.49,1.22,8.76,50.28,5.69,1.02,4.67,13.63,30.22,23.12,5.02,6.43,7.59,1.48,1.35,1.53,1.25,1.37,1.31,0.619268
METROPOLITANA DE SAO PAULO,296,339,414144,91,257,81,2649,622,5135,8830,8833,8720,3,8740,8832,8830,2915,223,5606,8835,8835,8924,26619,-999999,-999999,24533,63,5220,376,972,20099,828,2373,4270,8339,5281,923,1315,1582,317,315,313,298,281,295,14288,12442,26730,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005030,SAO PAULO,REGIAO SUDESTE,3.01,95.2,66.81,4.8,3.22,10.95,13.82,48.74,11.9,11.14,8.42,2.83,4294.63,-999.99,-999.99,8.95,9.75,3.36,-999.99,7.42,10.04,1.97,-999.99,12.35,-999.99,-999.99,-999.99,12.87,70.66,-999.99,-999.99,3.81,3.19,19.84,6.61,0.24,19.53,1.41,3.64,75.19,11.98,3.1,8.88,15.97,31.2,19.76,3.45,4.92,5.92,1.19,1.18,1.17,1.11,1.05,1.1,5.304193
METROPOLITANA DE SAO PAULO,303,432,409618,74,382,59,3115,1393,6642,11665,11664,11588,5,11362,11660,11657,3140,72,8381,11665,11665,11680,37866,-999999,-999999,34252,56,8870,671,3992,24304,790,2576,5963,11512,7910,1676,2265,2396,525,488,430,457,425,480,20119,17774,37893,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005120,SAO PAULO,REGIAO SUDESTE,3.25,93.67,65.55,6.33,2.35,5.61,10.5,48.72,20.38,12.44,7.1,2.19,3619.33,-999.99,-999.99,7.32,8.17,5.86,-999.99,6.13,16.04,1.49,5.32,22.85,1.23,-999.99,1.38,24.23,56.25,-999.99,-999.99,6.02,1.38,16.9,6.79,0.15,23.41,1.77,10.53,64.14,8.88,2.08,6.8,15.74,30.38,20.87,4.42,5.98,6.32,1.39,1.29,1.13,1.21,1.12,1.27,2.767696
METROPOLITANA DE SAO PAULO,297,312,405115,438,239,238,4834,822,4049,10614,10618,9544,22,10068,10598,10262,6778,153,2749,10620,10620,11242,32366,-999999,-999999,30539,138,9092,5141,1552,17969,793,2415,4619,10265,8101,1239,1700,2214,403,398,433,427,429,456,17503,16389,33892,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005000,SAO PAULO,REGIAO SUDESTE,3.05,93.63,60.01,6.37,1.41,6.95,12.74,37.2,13.84,25.27,6.14,2.1,3132.52,-999.99,-999.99,8.67,8.72,12.65,-999.99,2.85,13.18,1.33,5,19.51,2.14,-999.99,2.92,22.43,52.97,-999.99,-999.99,8.19,3.52,32.47,10.49,0.41,26.83,15.17,4.58,53.02,9.47,2.34,7.13,13.63,30.29,23.9,3.66,5.02,6.53,1.19,1.17,1.28,1.26,1.27,1.35,4.265351
METROPOLITANA DE SAO PAULO,304,338,404989,55,326,91,3555,672,6029,10727,10728,10474,0,10521,10728,10721,4183,284,6011,10728,10728,10864,32304,-999999,-999999,30029,106,4910,905,1724,24850,978,2965,5661,9986,6422,1167,1607,1697,334,351,372,309,316,330,17620,14875,32495,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005030,SAO PAULO,REGIAO SUDESTE,3.01,95.96,62.47,4.04,5.5,16.58,16.92,38.09,13.68,8.8,10.97,3.68,5592.56,-999.99,-999.99,9.52,10.41,4.05,-999.99,7.45,8.31,-999.99,1.65,10.03,-999.99,-999.99,-999.99,10.21,70.23,-999.99,-999.99,5.88,2.23,16.55,7.35,0.33,15.11,2.79,5.31,76.47,12.13,3.01,9.12,17.42,30.73,19.76,3.59,4.95,5.22,1.03,1.08,1.14,0.95,0.97,1.02,3.278694
METROPOLITANA DE SAO PAULO,299,438,441536,45,345,94,2140,998,6974,10594,10596,10581,3,10408,10593,10583,5808,45,4734,10596,10596,10673,31256,-999999,-999999,29248,9,4524,606,1469,24743,721,2655,5422,10307,5898,1204,1620,1703,316,300,290,319,281,315,16863,14488,31351,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005130,SAO PAULO,REGIAO SUDESTE,2.95,94.26,60.39,5.74,5.01,15.11,20.12,40.34,8.43,10.77,10.61,3.64,5411.36,-999.99,-999.99,9.85,10.68,5.06,-999.99,10.23,13.06,-999.99,1.9,14.96,-999.99,-999.99,-999.99,16.03,59.02,-999.99,-999.99,7.19,-999.99,11.14,4.47,0.03,14.43,1.93,4.69,78.92,10.77,2.3,8.47,17.29,32.88,18.81,3.84,5.17,5.43,1.01,0.96,0.93,1.02,0.9,1,9.031489
